date,month,year,Plant_Type,gen,gen12m
2007-09-15,9,2007,RENEWABLES,462.62638888888887,513.8938613389478
2007-09-15,9,2007,NET IMPORTS,5.633333333333334,82.39114890008094
2007-10-15,10,2007,COAL,4776.787634408603,4761.33517510981
2007-10-15,10,2007,NATURAL GAS,2287.9690860215055,2328.445257174376
2007-10-15,10,2007,RENEWABLES,520.4086021505376,520.1439770796885
2007-10-15,10,2007,NET IMPORTS,76.62903225806451,96.65388038156242
2007-11-15,11,2007,COAL,5069.7524339360225,4715.915596256764
2007-11-15,11,2007,NATURAL GAS,2403.1849791376912,2358.5970268876376
2007-11-15,11,2007,RENEWABLES,513.9332406119611,519.3333812015524
2007-11-15,11,2007,NET IMPORTS,-53.307371349095966,108.73094131346205
2007-12-15,12,2007,COAL,5047.4731182795695,4658.395804590097
2007-12-15,12,2007,NATURAL GAS,2502.791666666667,2372.186610220971
2007-12-15,12,2007,RENEWABLES,529.6989247311828,521.6800247200708
2007-12-15,12,2007,NET IMPORTS,-2.184139784946237,136.91323298012873
2008-01-15,1,2008,COAL,5075.389784946236,4665.225441686871
2008-01-15,1,2008,NATURAL GAS,2448.489247311828,2358.483429217387
2008-01-15,1,2008,RENEWABLES,548.997311827957,524.1940256161282
2008-01-15,1,2008,NET IMPORTS,134.31989247311827,128.92644982600686
2008-02-15,2,2008,COAL,4955.102011494253,4678.857386131315
2008-02-15,2,2008,NATURAL GAS,2499.0344827586205,2361.350700722763
2008-02-15,2,2008,RENEWABLES,490.92672413793105,525.8028965838702
2008-02-15,2,2008,NET IMPORTS,91.33620689655173,126.50037455718966
2008-03-15,3,2008,COAL,4784.56931359354,4680.254376872056
2008-03-15,3,2008,NATURAL GAS,2429.0430686406457,2365.504983130171
2008-03-15,3,2008,RENEWABLES,495.3135935397039,521.1772021394257
2008-03-15,3,2008,NET IMPORTS,65.257065948856,132.68602270533782
2008-04-15,4,2008,COAL,4395.952777777778,4649.519945868472
2008-04-15,4,2008,NATURAL GAS,2378.2319444444443,2368.1662734527513
2008-04-15,4,2008,RENEWABLES,463.1111111111111,517.3182191645153
2008-04-15,4,2008,NET IMPORTS,247.71666666666667,151.44072700641308
2008-05-15,5,2008,COAL,4210.741935483871,4595.998735854564
2008-05-15,5,2008,NATURAL GAS,2283.856182795699,2386.1496995074567
2008-05-15,5,2008,RENEWABLES,465.7096774193549,517.5428366888547
2008-05-15,5,2008,NET IMPORTS,205.29032258064515,174.36840433603754
2008-06-15,6,2008,COAL,4041.476388888889,4569.521585316929
2008-06-15,6,2008,NATURAL GAS,2148.5486111111113,2413.0634539877433
2008-06-15,6,2008,RENEWABLES,703.9347222222223,508.85320855265394
2008-06-15,6,2008,NET IMPORTS,424.8013888888889,192.85339537546406
2008-07-15,7,2008,COAL,4588.9731182795695,4522.05429141012
2008-07-15,7,2008,NATURAL GAS,2242.32123655914,2449.6468993282456
2008-07-15,7,2008,RENEWABLES,597.1465053763441,505.2636028178869
2008-07-15,7,2008,NET IMPORTS,206.73521505376345,206.3576516478655
2008-08-15,8,2008,COAL,4573.229838709677,4487.8817279522655
2008-08-15,8,2008,NATURAL GAS,2475.57123655914,2479.1188521539157
2008-08-15,8,2008,RENEWABLES,517.8279569892474,501.54736290956725
2008-08-15,8,2008,NET IMPORTS,115.77688172043011,219.2687465096608
2008-09-15,9,2008,COAL,4643.604166666667,4461.1315036364285
2008-09-15,9,2008,NATURAL GAS,2287.0180555555553,2508.8506825711434
2008-09-15,9,2008,RENEWABLES,407.11805555555554,500.033455327692
2008-09-15,9,2008,NET IMPORTS,79.86111111111111,231.06899325708116
2008-10-15,10,2008,COAL,4407.9744623655915,4466.978957340132
2008-10-15,10,2008,NATURAL GAS,2319.9045698924733,2502.692002015588
2008-10-15,10,2008,RENEWABLES,474.1008064516129,499.31748310546976
2008-10-15,10,2008,NET IMPORTS,301.68548387096774,221.38137751634042
2008-11-15,11,2008,COAL,4427.497913769123,4466.202299634039
2008-11-15,11,2008,NATURAL GAS,2618.9860917941587,2498.7491256715016
2008-11-15,11,2008,RENEWABLES,516.6286509040334,497.9853818509894
2008-11-15,11,2008,NET IMPORTS,221.82475660639778,224.98285601096407
2008-12-15,12,2008,COAL,4729.747311827957,4495.177183893298
2008-12-15,12,2008,NATURAL GAS,2825.7567204301076,2519.4777136344646
2008-12-15,12,2008,RENEWABLES,425.4233870967742,479.16234944358206
2008-12-15,12,2008,NET IMPORTS,219.63575268817203,210.56861989985296
2009-01-15,1,2009,COAL,4505.782258064516,4475.115579950646
2009-01-15,1,2009,NATURAL GAS,2887.4905913978496,2543.0872566452176
2009-01-15,1,2009,RENEWABLES,505.92204301075265,463.49937901347454
2009-01-15,1,2009,NET IMPORTS,296.3709677419355,214.3707032331863
2009-02-15,2,2009,COAL,4545.03125,4464.4988684811115
2009-02-15,2,2009,NATURAL GAS,2852.6979166666665,2549.650428688228
2009-02-15,2,2009,RENEWABLES,446.33184523809524,454.3926361819333
2009-02-15,2,2009,NET IMPORTS,246.26934523809524,209.78221757010385
2009-03-15,3,2009,COAL,4463.566621803499,4444.223868481112
2009-03-15,3,2009,NATURAL GAS,2785.8250336473757,2562.4738083178577
2009-03-15,3,2009,RENEWABLES,477.1467025572005,458.77492784860004
2009-03-15,3,2009,NET IMPORTS,206.8600269179004,207.4700647923261
2009-04-15,4,2009,COAL,4466.122222222222,4461.000526187205
2009-04-15,4,2009,NATURAL GAS,2304.327777777778,2589.914332511406
2009-04-15,4,2009,RENEWABLES,454.5194444444444,457.8712540134745
2009-04-15,4,2009,NET IMPORTS,131.46527777777777,181.9917941830071
2009-05-15,5,2009,COAL,4201.4220430107525,4446.781703748633
2009-05-15,5,2009,NATURAL GAS,2236.5416666666665,2604.5490103046372
2009-05-15,5,2009,RENEWABLES,449.7244623655914,469.3999976388802
2009-05-15,5,2009,NET IMPORTS,248.50806451612902,179.9465925140224
2009-06-15,6,2009,COAL,4389.175,4468.240709124977
2009-06-15,6,2009,NATURAL GAS,2397.2916666666665,2607.912809587792
2009-06-15,6,2009,RENEWABLES,478.05833333333334,473.25562039873677
2009-06-15,6,2009,NET IMPORTS,251.83055555555555,171.1006023706532
2009-07-15,7,2009,COAL,4348.2338709677415,4505.637214501321
2009-07-15,7,2009,NATURAL GAS,2525.635752688172,2595.3974646057127
2009-07-15,7,2009,RENEWABLES,409.19086021505376,469.79347882167593
2009-07-15,7,2009,NET IMPORTS,252.36021505376345,157.84208982585037
2009-08-15,8,2009,COAL,4445.829301075269,4536.957527001321
2009-08-15,8,2009,NATURAL GAS,2554.3293010752686,2587.6532929787286
2009-08-15,8,2009,RENEWABLES,408.5470430107527,469.1963806073902
2009-08-15,8,2009,NET IMPORTS,60.715053763440864,147.94402434965988
2009-09-15,9,2009,COAL,4400.304166666667,4556.316656655875
2009-09-15,9,2009,NATURAL GAS,2440.898611111111,2573.0723149616806
2009-09-15,9,2009,RENEWABLES,459.7055555555556,475.5859050578163
2009-09-15,9,2009,NET IMPORTS,52.11527777777778,132.10070896159348
2009-10-15,10,2009,COAL,4609.294354838709,4549.264226100319
2009-10-15,10,2009,NATURAL GAS,2649.190860215054,2605.062592739458
2009-10-15,10,2009,RENEWABLES,463.2567204301075,475.5929652430016
2009-10-15,10,2009,NET IMPORTS,-4.053763440860215,136.86691266529718
2009-11-15,11,2009,COAL,4256.872044506259,4525.100471620032
2009-11-15,11,2009,NATURAL GAS,2794.6022253129345,2669.442633062039
2009-11-15,11,2009,RENEWABLES,654.9735744089013,471.3537179311736
2009-11-15,11,2009,NET IMPORTS,197.28233657858135,144.08947090902478
2009-12-15,12,2009,COAL,4987.2553763440865,4511.711119768181
2009-12-15,12,2009,NATURAL GAS,2866.1223118279568,2689.542170099076
2009-12-15,12,2009,RENEWABLES,471.69086021505376,474.2479308941366
2009-12-15,12,2009,NET IMPORTS,113.48387096774194,160.82627646458033
2010-01-15,1,2010,COAL,4954.540322580645,4526.1648608076075
2010-01-15,1,2010,NATURAL GAS,2737.3064516129034,2698.714997160008
2010-01-15,1,2010,RENEWABLES,464.3763440860215,481.2844452310541
2010-01-15,1,2010,NET IMPORTS,137.2688172043011,166.15188130329003
2010-02-15,2,2010,COAL,4920.875,4544.256258657069
2010-02-15,2,2010,NATURAL GAS,2759.7678571428573,2710.646224758574
2010-02-15,2,2010,RENEWABLES,439.16666666666663,483.8982445142083
2010-02-15,2,2010,NET IMPORTS,127.49255952380952,176.524193131247
2010-03-15,3,2010,COAL,4695.876177658142,4585.622925323736
2010-03-15,3,2010,NATURAL GAS,2610.8532974427994,2716.5979608696853
2010-03-15,3,2010,RENEWABLES,553.8209959623149,482.30842969939346
2010-03-15,3,2010,NET IMPORTS,16.740242261103635,168.31748016828405
2010-04-15,4,2010,COAL,4381.493055555556,4581.138494320152
2010-04-15,4,2010,NATURAL GAS,2688.211111111111,2731.163485063234
2010-04-15,4,2010,RENEWABLES,454.6041666666667,483.64635532663357
2010-04-15,4,2010,NET IMPORTS,188.65972222222223,180.98190669158154
2010-05-15,5,2010,COAL,3911.456989247312,4635.288007532948
2010-05-15,5,2010,NATURAL GAS,3009.1021505376343,2747.6335824206744
2010-05-15,5,2010,RENEWABLES,398.85349462365593,475.3596144828691
2010-05-15,5,2010,NET IMPORTS,335.1787634408602,178.13501285755277
2010-06-15,6,2010,COAL,4228.502777777778,4622.165135669148
2010-06-15,6,2010,NATURAL GAS,2638.4861111111113,2775.8974713095636
2010-06-15,6,2010,RENEWABLES,512.7888888888889,482.47890211727764
2010-06-15,6,2010,NET IMPORTS,452.6722222222222,197.11115533067107
2010-07-15,7,2010,COAL,4521.67876344086,4598.228419719327
2010-07-15,7,2010,NATURAL GAS,2635.7096774193546,2812.11140500132
2010-07-15,7,2010,RENEWABLES,493.6290322580645,496.21568527139954
2010-07-15,7,2010,NET IMPORTS,316.26747311827955,219.67746357439864
2010-08-15,8,2010,COAL,4662.926075268817,4560.326882020915
2010-08-15,8,2010,NATURAL GAS,2697.5040322580644,2849.509966509256
2010-08-15,8,2010,RENEWABLES,439.9126344086022,514.3706951920345
2010-08-15,8,2010,NET IMPORTS,185.18279569892474,251.4074982966209
2010-09-15,9,2010,COAL,4896.704166666666,4556.103463447563
2010-09-15,9,2010,NATURAL GAS,2512.3194444444443,2876.04910962276
2010-09-15,9,2010,RENEWABLES,440.6277777777778,514.7229832135688
2010-09-15,9,2010,NET IMPORTS,-46.36527777777778,296.6615359816814
2010-10-15,10,2010,COAL,4555.481182795699,4529.871403262378
2010-10-15,10,2010,NATURAL GAS,2823.9771505376343,2889.0687855486863
2010-10-15,10,2010,RENEWABLES,479.31182795698925,529.2535387691244
2010-10-15,10,2010,NET IMPORTS,147.91935483870967,324.74440635205184
2010-11-15,11,2010,COAL,4906.666203059805,4564.129915807181
2010-11-15,11,2010,NATURAL GAS,2992.2433936022253,2828.3760212117686
2010-11-15,11,2010,RENEWABLES,555.5326842837273,543.6354832135688
2010-11-15,11,2010,NET IMPORTS,163.11961057023643,329.3375963162095
2010-12-15,12,2010,COAL,4829.780913978495,4567.355147288662
2010-12-15,12,2010,NATURAL GAS,3205.2889784946237,2811.337826767324
2010-12-15,12,2010,RENEWABLES,557.122311827957,572.2678906209762
2010-12-15,12,2010,NET IMPORTS,341.1975806451613,315.8152583532466
2011-01-15,1,2011,COAL,4667.299731182796,4566.693856966082
2011-01-15,1,2011,NATURAL GAS,3171.8736559139784,2804.458682502091
2011-01-15,1,2011,RENEWABLES,629.2177419354839,595.2386567500084
2011-01-15,1,2011,NET IMPORTS,408.06451612903226,323.8118981381928
2011-02-15,2,2011,COAL,4466.056547619048,4560.437808578985
2011-02-15,2,2011,NATURAL GAS,3208.5505952380954,2807.196921749403
2011-02-15,2,2011,RENEWABLES,657.0267857142858,609.293988291227
2011-02-15,2,2011,NET IMPORTS,508.2529761904762,341.4985020808451
2011-03-15,3,2011,COAL,4645.195154777927,4533.866512282689
2011-03-15,3,2011,NATURAL GAS,2929.323014804845,2811.8251624901436
2011-03-15,3,2011,RENEWABLES,558.0484522207269,627.9928308838197
2011-03-15,3,2011,NET IMPORTS,559.7886944818304,375.14908078454886
2011-04-15,4,2011,COAL,4066.7083333333335,4527.92890027552
2011-04-15,4,2011,NATURAL GAS,2844.4472222222225,2807.248101558244
2011-04-15,4,2011,RENEWABLES,628.9708333333333,641.7968183390168
2011-04-15,4,2011,NET IMPORTS,525.6541666666667,385.95799655515816
2011-05-15,5,2011,COAL,4322.559139784947,4499.093364809595
2011-05-15,5,2011,NATURAL GAS,2280.7889784946237,2812.293998637521
2011-05-15,5,2011,RENEWABLES,571.4368279569892,660.0587562156974
2011-05-15,5,2011,NET IMPORTS,390.2970430107527,401.9380614601187
2011-06-15,6,2011,COAL,4267.205555555555,4478.190587031818
2011-06-15,6,2011,NATURAL GAS,2434.027777777778,2809.1518615407463
2011-06-15,6,2011,RENEWABLES,856.3777777777777,684.916059083081
2011-06-15,6,2011,NET IMPORTS,290.40416666666664,396.98084819847
2011-07-15,7,2011,COAL,4513.743279569892,4481.8633020855805
2011-07-15,7,2011,NATURAL GAS,2553.1599462365593,2813.84709003537
2011-07-15,7,2011,RENEWABLES,769.2782258064516,705.0849658931169
2011-07-15,7,2011,NET IMPORTS,412.22715053763443,384.3982989153158
2011-08-15,8,2011,COAL,4587.853494623656,4494.112421201618
2011-08-15,8,2011,NATURAL GAS,2730.3629032258063,2814.6806371754906
2011-08-15,8,2011,RENEWABLES,608.5766129032259,712.3649416046657
2011-08-15,8,2011,NET IMPORTS,397.4220430107527,369.4739608611287
2011-09-15,9,2011,COAL,4577.8486111111115,4476.998356598658
2011-09-15,9,2011,NATURAL GAS,2567.858333333333,2822.703853864589
2011-09-15,9,2011,RENEWABLES,665.0138888888889,731.745829895379
2011-09-15,9,2011,NET IMPORTS,357.44166666666666,351.2657957646729
2011-10-15,10,2011,COAL,4484.229838709677,4469.515254746805
2011-10-15,10,2011,NATURAL GAS,2769.0524193548385,2837.9871871979226
2011-10-15,10,2011,RENEWABLES,644.9596774193549,737.4337928583419
2011-10-15,10,2011,NET IMPORTS,277.6263440860215,354.2623235424507
2011-11-15,11,2011,COAL,4560.639777468707,4433.523095248597
2011-11-15,11,2011,NATURAL GAS,3052.7941585535464,2880.9852830760587
2011-11-15,11,2011,RENEWABLES,774.6759388038943,752.6218528941844
2011-11-15,11,2011,NET IMPORTS,354.88038942976357,364.58154397255817
2011-12-15,12,2011,COAL,4578.947580645161,4372.01869710045
2011-12-15,12,2011,NATURAL GAS,3167.583333333333,2917.786671964947
2011-12-15,12,2011,RENEWABLES,855.4099462365591,764.8941908571474
2011-12-15,12,2011,NET IMPORTS,281.7110215053763,383.6137198984841
2012-01-15,1,2012,COAL,4711.372311827957,4338.286394233066
2012-01-15,1,2012,NATURAL GAS,3228.2163978494623,2944.568369993621
2012-01-15,1,2012,RENEWABLES,871.244623655914,783.0736263410182
2012-01-15,1,2012,NET IMPORTS,257.0739247311828,395.78531488056296
2012-02-15,2,2012,COAL,4613.045977011494,4327.856174699015
2012-02-15,2,2012,NATURAL GAS,3218.55316091954,2950.1298619291047
2012-02-15,2,2012,RENEWABLES,744.3864942528735,801.5201989216635
2012-02-15,2,2012,NET IMPORTS,329.1609195402299,395.6423937336096
2012-03-15,3,2012,COAL,4439.826379542395,4306.438466365682
2012-03-15,3,2012,NATURAL GAS,3025.6016150740243,2972.620834151327
2012-03-15,3,2012,RENEWABLES,790.6191117092867,807.2004072549968
2012-03-15,3,2012,NET IMPORTS,341.2907133243607,383.31068077064657
2012-04-15,4,2012,COAL,3976.911111111111,4300.181521921238
2012-04-15,4,2012,NATURAL GAS,3027.847222222222,2999.9771289541945
2012-04-15,4,2012,RENEWABLES,697.2263888888889,813.305693993348
2012-04-15,4,2012,NET IMPORTS,561.6125,383.57882593193693
2012-05-15,5,2012,COAL,3890.6532258064517,4271.745499668109
2012-05-15,5,2012,NATURAL GAS,2796.766129032258,3045.410833173017
2012-05-15,5,2012,RENEWABLES,753.6935483870968,813.9556708130049
2012-05-15,5,2012,NET IMPORTS,514.127688172043,390.77945180119974
2012-06-15,6,2012,COAL,3529.152777777778,4277.233626908252
2012-06-15,6,2012,NATURAL GAS,2875.6444444444446,3079.353709517103
2012-06-15,6,2012,RENEWABLES,1003.6458333333334,812.6377944689189
2012-06-15,6,2012,NET IMPORTS,518.7902777777778,396.49092133525
2012-07-15,7,2012,COAL,4108.955645161291,4271.179639453055
2012-07-15,7,2012,NATURAL GAS,2874.5403225806454,3096.7561512733755
2012-07-15,7,2012,RENEWABLES,987.4314516129032,820.2223598811053
2012-07-15,7,2012,NET IMPORTS,558.2862903225806,400.93234158614604
2012-08-15,8,2012,COAL,4462.690860215053,4277.816929067177
2012-08-15,8,2012,NATURAL GAS,2797.1008064516127,3104.7524652443662
2012-08-15,8,2012,RENEWABLES,829.9354838709677,837.7507919076515
2012-08-15,8,2012,NET IMPORTS,395.7069892473118,386.6653353943015
2012-09-15,9,2012,COAL,4320.836111111111,4252.439405514014
2012-09-15,9,2012,NATURAL GAS,2837.75,3155.348808896228
2012-09-15,9,2012,RENEWABLES,733.1763888888888,834.9349552095806
2012-09-15,9,2012,NET IMPORTS,209.4611111111111,395.8344695351718
2012-10-15,10,2012,COAL,4409.146505376344,4264.704799032532
2012-10-15,10,2012,NATURAL GAS,3097.3279569892475,3169.6268181554874
2012-10-15,10,2012,RENEWABLES,718.2231182795699,841.1913209503214
2012-10-15,10,2012,NET IMPORTS,280.8440860215054,390.5838908314681
2012-11-15,11,2012,COAL,4219.407510431154,4270.386362652604
2012-11-15,11,2012,NATURAL GAS,3597.9986091794162,3188.844224069466
2012-11-15,11,2012,RENEWABLES,782.4756606397775,843.9376247137624
2012-11-15,11,2012,NET IMPORTS,441.28789986091795,373.34923581354695
2012-12-15,12,2012,COAL,4644.805107526881,4277.799094134085
2012-12-15,12,2012,NATURAL GAS,3574.8978494623657,3216.1706129583545
2012-12-15,12,2012,RENEWABLES,839.5954301075269,840.9851941582068
2012-12-15,12,2012,NET IMPORTS,350.2486559139785,360.8316432209544
2013-01-15,1,2013,COAL,4638.7244623655915,4301.714528721898
2013-01-15,1,2013,NATURAL GAS,3437.0456989247314,3231.4042599117597
2013-01-15,1,2013,RENEWABLES,962.2594086021505,832.250875161791
2013-01-15,1,2013,NET IMPORTS,310.3709677419355,333.01320684102603
2013-02-15,2,2013,COAL,4692.693452380952,4289.500147001469
2013-02-15,2,2013,NATURAL GAS,3314.5089285714284,3275.0593898400753
2013-02-15,2,2013,RENEWABLES,954.7276785714286,824.2564755202138
2013-02-15,2,2013,NET IMPORTS,157.95684523809524,320.0645061241802
2013-03-15,3,2013,COAL,4135.296096904442,4289.166234964431
2013-03-15,3,2013,NATURAL GAS,3632.757738896366,3300.9436490993344
2013-03-15,3,2013,RENEWABLES,756.8290713324361,831.5401560757695
2013-03-15,3,2013,NET IMPORTS,451.32032301480484,315.5866126056616
2013-04-15,4,2013,COAL,4124.095833333334,4307.130952706367
2013-04-15,4,2013,NATURAL GAS,3199.1833333333334,3295.9792673789048
2013-04-15,4,2013,RENEWABLES,772.3027777777778,836.7698827782784
2013-04-15,4,2013,NET IMPORTS,498.60555555555555,304.67711439777634
2013-05-15,5,2013,COAL,3958.831989247312,4369.838416776835
2013-05-15,5,2013,NATURAL GAS,3027.375,3275.6740981624002
2013-05-15,5,2013,RENEWABLES,786.6491935483871,844.615733496869
2013-05-15,5,2013,NET IMPORTS,307.31182795698925,276.7075965489122
2013-06-15,6,2013,COAL,3618.1055555555554,4404.814895271459
2013-06-15,6,2013,NATURAL GAS,3203.561111111111,3285.1961635745865
2013-06-15,6,2013,RENEWABLES,968.2166666666667,848.399447654575
